id_prov,parrent_id,type,,Период на принятие,Период на исполнение,Сезонность,Аварийная
1,3077,2286. 9031. Прекратить незаконные действия в охранных зонах объектов электросетевого хозяйства,,72,192,Вне зависимости от сезона,Нет
1,3077,"2286. 9032. Убрать объекты (предметы), расположенные в охранных зонах объектов электросетевого хозяйства",,72,192,Вне зависимости от сезона,
1,3077,2286. 9034. Изменить место расположения  объектов электросетевого хозяйства,,72,192,Вне зависимости от сезона,
1,3077,2286. 9030. Прекратить незаконное размещение объектов электросетевого хозяйства,,72,192,Вне зависимости от сезона,
1,3077,"2286. 9033. Не допустить использование земельных участков, расположенных в границах охранных зон объектов электросетевого хозяйства без согл",,72,192,Вне зависимости от сезона,
1,3077,2287. 9037. Прекратить незаконное размещение магистральных газопроводов,,72,192,Вне зависимости от сезона,
1,3077,"2287. 9035. Убрать объекты (предметы), расположенные в охранных зонах магистральных газопроводов",,72,192,Вне зависимости от сезона,
1,3077,2287. 9038. Прекратить незаконные действия в охранных зонах магистральных газопроводов,,72,120,Вне зависимости от сезона,
1,3077,2287. 9039. Изменить место расположения магистральных газопроводов,,72,192,Вне зависимости от сезона,
1,3077,"2287. 9036. Не допустить использование земельных участков, расположенных в границах охранных зон магистральных газопроводов без согласования",,72,192,Вне зависимости от сезона,
1,3077,"2288. 9044. Не допустить использование земельных участков, расположенных в границах охранных зон магистральных нефтепроводов и нефтепродукто",,72,120,Вне зависимости от сезона,
1,3077,2288. 9043. Прекратить незаконные действия в охранных зонах магистральных нефтепроводов и нефтепродуктопроводов,,72,192,Вне зависимости от сезона,
1,3077,2288. 9040. Прекратить незаконное размещение магистральных нефтепроводов и нефтепродуктопроводов,,72,120,Вне зависимости от сезона,
1,3077,"2288. 9041. Убрать  объекты (предметы), расположенные в охранных зонах магистральных нефтепроводов и нефтепродуктопроводов",,72,192,Вне зависимости от сезона,
1,3077,2288. 9042. Изменить место расположения  магистральных нефтепроводов и нефтепродуктопроводов,,72,120,Вне зависимости от сезона,
1,3078,2289. 9045. Устранить нарушения эксплуатации и содержания общедомового имущества многоквартирного дома,,72,192,Вне зависимости от сезона,
1,3079,"2290. 9048. Принять меры в связи с нарушением УО, ТСЖ, ЖК, ЖСК, ОМСУ, РСО  сроков размещения информации в ГИС ЖКХ.",,72,96,Вне зависимости от сезона,
1,3079,2290. 9046. Провести проверку в отношении ОМСУ на предмет соблюдения сроков размещения информации в ГИС ЖКХ.,,72,96,Вне зависимости от сезона,
1,3079,"2290. 9047. Провести проверку в отношении УО, ТСЖ, ЖК, ЖСК, РСО на предмет соблюдения сроков размещения информации в ГИС ЖКХ.",,72,96,Вне зависимости от сезона,
1,3079,2456. 9050. Принять меры в связи с нарушением порядка размещения информации о деятельности ОМСУ в полном объёме в  системе ГИС ЖКХ .,,72,96,Вне зависимости от сезона,
1,3079,"2456. 9049. Принять меры в связи с нарушением УО, ТСЖ, ЖК, ЖСК, ОМСУ, РСО  сроков размещения информации в ГИС ЖКХ",,72,96,Вне зависимости от сезона,
1,3079,"2456. 9051. Провести проверку в отношении УО, ТСЖ, ЖК, ЖСК на предмет достоверности (актуальности) информации, размещенной  в системе ГИС ЖК",,72,96,Вне зависимости от сезона,
1,3079,2456. 9052. Принять меры в связи с отсутствием информации о решениях собственников многоквартирного дома в системе ГИС ЖКХ.,,72,96,Вне зависимости от сезона,
1,3079,2456. 9053. Принять меры в связи с нарушением  размещения информации о лицевых счетах в системе ГИС ЖКХ.,,72,96,Вне зависимости от сезона,
1,3080,"2291. 9057. Дать разъяснение по соответствию требований к составу нормативов потребления коммунальных услуг, установленных действующим закон",,72,144,Вне зависимости от сезона,
1,3080,2291. 9054. Дать разъяснение по обоснованности размера установленного норматива потребления коммунальных услуг,,72,144,Вне зависимости от сезона,
1,3080,2291. 9055. Дать разъяснения по соблюдению условий и методов установления нормативов потребления коммунальных услуг,,72,144,Вне зависимости от сезона,
1,3080,"2291. 9056. Дать разъяснение по соответствию требований к составу нормативов потребления коммунальных услуг, установленных действующим закон",,72,144,Вне зависимости от сезона,
1,3080,"2292. 9058. Устранить нарушения, связанные с применением при расчетах платы за содержание жилого помещения размеров площади дома / квартиры",,72,144,Вне зависимости от сезона,
1,3080,2292. 9059. Исключить из ЕПД плату за дополнительные услуги,,72,144,Вне зависимости от сезона,
1,3080,2292. 9060. Провести проверку соответствия выставляемого ЕПД установленным требованиям,,72,144,Вне зависимости от сезона,
1,3080,"2292. 9061. Устранить нарушения, связанные с применением в расчетах неустановленного размера платы за содержание жилого помещения",,72,144,Вне зависимости от сезона,
1,3080,2292. 9062. Провести проверку правильности начисления платы за содержание жилого помещения,,72,144,Вне зависимости от сезона,
1,3080,2292. 9064. Исключить из ЕПД задолженность за содержание жилого помещения,,72,144,Вне зависимости от сезона,
1,3080,"2292. 9063. ""Дать разъяснение по применяемому размеру платы за содержание жилого помещения """,,72,144,Вне зависимости от сезона,
1,3080,2293. 9065. Провести проверку корректности проведенного перерасчета платы за отопление,,72,144,Вне зависимости от сезона,
1,3080,2293. 9067. Провести перерасчет платы за некачественно оказанные жилищно-коммунальные услуги,,72,144,Вне зависимости от сезона,
1,3080,"2293. 9066. Устранить нарушения, связанные с отсутствием перерасчета платы за отопление исходя из показаний общедомового прибора учета",,72,144,Вне зависимости от сезона,
1,3080,2294. 9068. Провести проверку порядка начисления платы за коммунальные услуги по лицевому счету квартиры,,72,144,Вне зависимости от сезона,
1,3080,2294. 9069. Исключить из ЕПД задолженность за коммунальные услуги,,72,144,Вне зависимости от сезона,
1,3080,2294. 9073. Провести проверку порядка начисления платы за коммунальные услуги на общедомовые нужды,,72,144,Вне зависимости от сезона,
1,3080,"2294. 9071. Провести проверку корректности объемов потребления коммунальных услуг, указанных в ЕПД",,72,144,Вне зависимости от сезона,
1,3080,"2294. 9070. Дать разъяснение по тарифам, применяемым при расчетах за коммунальные услуги",,72,192,Вне зависимости от сезона,
1,3080,2294. 9072. Обеспечить применение в расчетах установленных тарифов за коммунальные услуги,,72,192,Вне зависимости от сезона,
1,3081,"2295. 9074. Удалить несанкционированные объявления, листовки, информационные материалы, графические изображения",,72,192,Вне зависимости от сезона,
1,3081,"2295. 9075. Привлечь к ответственности за размещение объявлений, листовок, информационных материалов, графических изображений вне отведенных",,72,192,Вне зависимости от сезона,
1,3081,2296. 9076. Установить (привести в надлежащее состояние) информационный стенд дворовой территории,,72,192,Вне зависимости от сезона,
1,3082,2297. 9079. Отремонтировать железнодорожный переезд,,72,96,Вне зависимости от сезона,
1,3082,2297. 9078. Изменить интервал работы железнодорожного переезда,,72,96,Вне зависимости от сезона,
1,3082,2297. 9077. Ликвидировать железнодорожный переезд,,72,96,Вне зависимости от сезона,
1,3083,"2298. 9080. Проинформировать о порядке осуществления государственного надзора и соблюдения требований  в сфере чистоты, порядка и благоустро",,72,96,Вне зависимости от сезона,
1,3083,2299. 9081. Проинформировать о порядке привлечения к отвественности и соблюдении требований в сфере обеспечения тишины и покоя граждан,,72,96,Вне зависимости от сезона,
1,3084,"2300. 9082. Установить (привести в надлежащее состояние) люк, колодец",,24,72,Вне зависимости от сезона,
1,3084,"2300. 9083. Привлечь к ответственности за отсутствие (ненадлежащее состояние) люка, колодца",,72,192,Вне зависимости от сезона,
1,3084,"2301. 9084. Привлечь к ответственности за отсутствие (разрушение) наружной изоляции наземных линий теплосети, газо-, топливо-, водопроводов",,72,192,Вне зависимости от сезона,
1,3084,"2301. 9085. Установить (восстановить) изоляцию наземной линии теплосети, газо-, топливо-, водопровода",,72,192,Вне зависимости от сезона,
1,3084,2302. 9086. Привлечь за самовольную прокладку коммуникаций,,72,192,Вне зависимости от сезона,
1,3085,2303. 9087. Принять меры в свяи с некорректным поведением сотрудника управляющей организации,,72,192,Вне зависимости от сезона,
1,3085,2304. 9089. Обеспечить оперативные ответы на звонки сотрудниками управляющей организации,,72,192,Вне зависимости от сезона,
1,3085,2304. 9088. Принять меры в связи с невозможностью дозвониться до диспетчерской службы управляющей организации,,72,192,Вне зависимости от сезона,
1,3085,"2305. 9090. Принять меры по обслуживанию и очистке мусопроводов, мусороприемных камер, и вокруг контейнерных площадок",,72,192,Вне зависимости от сезона,
